ID,First Author,Year, Location,Input Body Part,Gesture,Sensing_PANEL_Sensors,Sensing_PANEL_No Additional Sensing,Interaction_PANEL_Number of Selected Gestures,Interaction_PANEL_Resolution,Interaction_PANEL_Hands-Free,Interaction_PANEL_Eyes-Free,Interaction_PANEL_Possible on One Ear,Interaction_PANEL_Adaptation of the Interaction Detection Algorithm to the Individual User,Interaction_PANEL_Discreetness of Interaction Techniques,Interaction_PANEL_Social Acceptability of Interaction Techniques,Interaction_PANEL_Accuracy of Interaction Recognition,Interaction_PANEL_Robustness of Interaction Detection,Study_PANEL_Elicitation Study,Study_PANEL_Usability Evaluations,Study_PANEL_Cognitive Ease Evaluations,Study_PANEL_Discreetness of Interactions Evaluations,Study_PANEL_Social Acceptability of Interactions Evaluations,Study_PANEL_Accuracy of Interactions Evaluations,Study_PANEL_Alternative Interaction Validity Evaluations,Study_PANEL_Evaluation of Different Conditions,Study_PANEL_Evaluation of Different Settings,Device_PANEL_Earphone Type,Device_PANEL_Development Stage,Device_PANEL_Real-Time Processing,Device_PANEL_On-Device Processing,Applications_PANEL_Intended Applications,Keywords,Abstract,Study Link
94,Stanke et al.,2023,Actuation,N/A,"Display (Actuation), Electrotactile (Actuation), Light (Actuation), Poke (Actuation), Sound (Actuation), Thermal (Actuaction), Vibration (Actuation)",N/A,N/A,8,Semantic,Yes,Yes,Yes,N/A,Medium,High,N/A,N/A,No,Yes (N=18),No,No,No,No,No,"Sitting, Sports","Fitness Center, Lab",Custom Device,Research Prototype,N/A,N/A,Communication,"Ear Clip, Ear-Worn, Earlobe, Earring, Electrotactile, Light, Notification, Poke, Sound, Thermal, Vibration, Wearable","The earlobe is a well-known location for wearing jewelry, but might also be promising for electronic output, such as presenting notifications. This work elaborates the pros and cons of different notification channels for the earlobe. Notifications on the earlobe can be private (only noticeable by the wearer) as well as public (noticeable in the immediate vicinity in a given social situation). A user study with 18 participants showed that the reaction times for the private channels (Poke, Vibration, Private Sound, Electrotactile) were on average less than 1 s with an error rate (missed notifications) of less than 1 %. Thermal Warm and Cold took significantly longer and Cold was least reliable (26 % error rate). The participants preferred Electrotactile and Vibration. Among the public channels the recognition time did not differ significantly between Sound (738 ms) and LED (828 ms), but Display took much longer (3175 ms). At 22 % the error rate of Display was highest. The participants generally felt comfortable wearing notification devices on their earlobe. The results show that the earlobe indeed is a suitable location for wearable technology, if properly miniaturized, which is possible for Electrotactile and LED. We present application scenarios and discuss design considerations. A small field study in a fitness center demonstrates the suitability of the earlobe notification concept in a sports context.",https://doi.org/10.1145/3610925
95,Yi et al.,2023,Mouth,Speech Apparatus,Silent Speech (Phonemes),EMG,Yes,10,Semantic,Yes,Yes,No,No,High,High,Medium (N=45),Medium (N=45),Yes (N=10),No,No,No,No,Yes (N=45),No,"Command Deformation, Head Movement, Sitting",Lab,Custom Device,Research Prototype,No,No,"Music Player, Phone Calls, Silent Speech","EMG Signals, Micro-Interaction, Silent Command Recognition","The prevalence of smart devices encourages increasing requirements of wearable human–computer interactions. To improve user acceptance, such interactions require easy-tomanipulate and unobtrusive characteristics. In this article, we, for the first time, propose to recognize silent commands through a lightweight and around-ear biosensing system Mordo that can be easily integrated with earphones, manipulate smart devices, and minimize social awkwardness. In particular, we first determine the empirical principles of constructing commands and experimentally screen the commands based on the around-ear configuration. Second, we select the optimal around-ear sensor configuration according to the single-channel signal-to-noise ratios (SNRs) and classification accuracies. Third, we propose a multistream CNN-LSTM network to learn the spatiotemporal mapping between the around-ear signals and commands. Finally, extensive experiments have been conducted to evaluate the feasibility and stability. The results indicate an averaged accuracy of 89.66% that outperforms other algorithms of similar tasks. The stability tests show that our system presents sufficient stability under command deformations and head motions. We demonstrate the necessity of collecting such scale of data by gradually reducing training data size. We also validate the generalization ability of our method toward other sensing parameters by reducing the spatial and temporal resolutions. The proof-of-concept design will aim the further development of the commercial products for silent command recognition.",https://ieeexplore.ieee.org/document/9878163
96,Zhang et al.,2023,Ear and Earable,Hand,Touch (Ear),"Microphone, Speaker",Yes,1,Coarse,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Custom Device,Research Prototype,N/A,No,"Music Player, Phone Calls","Acoustic Sensing, Bone Conduction, Human Interface, Positioning","The advancement of semiconductor and battery technologies popularized tiny acoustic wearable devices such as bone conduction wireless headsets. However, this small form factor poses inconvenience when controlling these devices, as they cannot equip large footprint intuitive interfaces such as volume sliders and touch screens. This paper presents a technique using acoustic responses measured by a bone conduction speaker and a microphone to utilize the ear as a touch input interface. We discovered that a finger placed on different parts of the ear affects the acoustic radiation characteristic of the ear, modulating the leaked sound, and by leveraging this effect, the touch position can be estimated. Experimental results show that five distinct frequency responses with five different finger positions can be obtained, which indicates that our method could allow bone conduction headsets to capture continuous finger positions without additional hardware.",https://dl.acm.org/doi/10.1145/3560905.3568075
97,Zhang et al.,2023,Face,Facial Expression,Ekman 7,Microphone,Yes,7,Semantic,Yes,Visual Attention,Yes (Performance Loss),Yes,Low,Low,N/A,N/A,No,Yes (N=20),No,No,No,No,Yes (N=20),"Head Movement, Sitting, Time, Walking, Wearing Styles",Lab,Earbud,Research Prototype,No,No,"AR/VR, Accessibility, Device Input, Driving, Emotion Recognition, Health","Earable Computing, Facial Reconstruction, IoT, Mobile Computing, Wearable Sensing","This article presents EARFace, a system that shows the feasibility of tracking facial landmarks for 3D facial reconstruction using in-ear acoustic sensors embedded within smart earphones. This enables a number of applications in the areas of facial expression tracking, user interfaces, AR/VR applications, affective computing, and accessibility, among others. Although conventional vision-based solutions break down under poor lighting and occlusions, and also suffer from privacy concerns, earphone platforms are robust to ambient conditions while being privacy-preserving. In contrast to prior work on earable platforms that perform outer-ear sensing for facial motion tracking, EARFace shows the feasibility of completely in-ear sensing with a natural earphone form factor, thus enhancing the comfort levels of wearing. The core intuition exploited by EARFace is that the shape of the ear canal changes due to the movement of facial muscles during facial motion. EARFace tracks the changes in shape of the ear canal by measuring ultrasonic channel frequency response of the inner ear, ultimately resulting in tracking of the facial motion. A transformer-based machine learning model is designed to exploit spectral and temporal relationships in the ultrasonic channel frequency response data to predict the facial landmarks of the user with an accuracy of 1.83 mm. Using these predicted landmarks, a 3D graphical model of the face that replicates the precise facial motion of the user is then reconstructed. Domain adaptation is further performed by adapting the weights of layers using a group-wise and differential learning rate. This decreases the training overhead in EARFace. The transformer-based machine learning model runs on smart phone devices with a processing latency of 13 ms and an overall low power consumption profile. Finally, usability studies indicate higher levels of comforts of wearing EARFace’s earphone platform in comparison with alternative form factors.",https://doi.org/10.1145/3614438
98,Zhang et al.,2023,Mouth,Speech Apparatus,Silent Speech (Words),"Microphone, Speaker",Yes,8,Semantic,Yes,Yes,Yes (Performance Loss),Yes,High,High,Medium (N=18),Medium (N=18),No,Yes (N=18),No,No,No,Yes (N=18),No,"Device, Music",Lab,Headphone,Research Prototype,No,No,"Music Player, Silent Speech","Acoustic Sensing, Commodity-Off-Theshelf, Headphones, Silent Speech","We present HPSpeech, a silent speech interface for commodity headphones. HPSpeech utilizes the existing speakers of the headphones to emit inaudible acoustic signals. The movements of the temporomandibular joint (TMJ) during speech modify the reflection pattern of these signals, which are captured by a microphone positioned inside the headphones. To evaluate the performance of HPSpeech, we tested it on two headphones with a total of 18 participants. The results demonstrated that HPSpeech successfully recognized 8 popular silent speech commands for controlling the music player with an accuracy over 90%. While our tests use modified commodity hardware (both with and without active noise cancellation), our results show that sensing the movement of the TMJ could be as simple as a firmware update for ANC headsets which already include a microphone inside the hear cup. This leaves us to believe that this technique has great potential for rapid deployment in the near future. We further discuss the challenges that need to be addressed before deploying HPSpeech at scale.",https://doi.org/10.1145/3594738.3611365
99,Zhu et al.,2023,Head Gestures and Pointing,Head,"Pitch, Roll, Yaw","Accelerometer, Gyroscope",Yes,12,Semantic,Yes,Yes,Yes,Yes,Medium,High,High (N=15),N/A,No,No,No,No,No,Yes (N=15),No,"Sports, Standing, Walking, Walking Stairs",Lab,Earbud,Research Prototype,Yes,No,"Activity Recognition, Device Control, Music Player, Phone Calls","Composite Activity Recognition, Earable Device, Multi-Task Learning","The increasing popularity of earable devices stimulates great academic interest to design novel head gesture-based interaction technologies. But existing works simply consider it as a singular activity recognition problem. This is not in line with practice since users may have different body movements such as walking and jogging along with head gestures. It is also beneficial to recognize body movements during human-device interaction since it provides useful context information. As a result, it is significant to recognize such composite activities in which actions of different body parts happen simultaneously. In this paper, we propose a system called CHAR to recognize composite head-body activities with a single IMU sensor. The key idea of our solution is to make use of the inter-correlation of different activities and design a multi-task learning network to extract shared and specific representations. We implement a real-time prototype and conduct extensive experiments to evaluate it. The results show that CHAR can recognize 60 kinds of composite activities (12 head gestures and 5 body movements) with high accuracies of 97.0% and 89.7% in user- dependent and independent cases, respectively.",https://ieeexplore.ieee.org/abstract/document/10916516
100,Dong et al.,2024,Mouth,Speech Apparatus,Silent Speech (Words),"Microphone, Speaker",Yes,100,Semantic,Yes,Yes,No,Yes,High,High,Medium (N=4),Medium (N=9),No,No,No,No,No,Yes (N=4),No,"Head Movement, Noise, Sitting, Standing, Walking, Wearing Styles",Lab,Earbud,Research Prototype,No,No,"Accessibility, Device Control, Silent Speech","Acoustic Sensing, Autoregressive Model, Earable Computing, Silent Speech Interface, Text Entry","Silent speech interaction (SSI) allows users to discreetly input text without using their hands. Existing wearable SSI systems typically require custom devices and are limited to a small lexicon, limiting their utility to a small set of command words. This work proposes ReHEarSSE, an earbud-based ultrasonic SSI system capable of generalizing to words that do not appear in its training dataset, providing support for nearly an entire dictionary’s worth of words. As a user silently spells words, ReHEarSSE uses autoregressive features to identify subtle changes in ear canal shape. ReHEarSSE infers words using a deep learning model trained to optimize connectionist temporal classifcation (CTC) loss with an intermediate embedding that accounts for diferent letters and transitions between them. We fnd that ReHEarSSE recognizes 100 unseen words with an accuracy of 89.3%.",https://doi.org/10.1145/3613904.3642095
101,Ge et al.,2024,Head Gestures and Pointing,Head,Yaw,Microphone,No,1,Fine,Yes,Visual Attention,No,No,Medium,High,High (N=6),High (N=6),No,No,No,No,No,Yes (N=6),Yes,"Distance, Noise, Standing","Outdoors, University Building",Earbud,Research Prototype,No,No,"Activity Recognition, Customer Analytics","Acoustic Signal Processing, Human Computer Interaction, Signal Processing, Systems, User Interfaces","Head tracking is a technique that allows for the measurement and analysis of human focus and attention, thus enhancing the experience of human–computer interaction (HCI). Nevertheless, current solutions relying on vision and motion sensors exhibit limitations in accuracy, user-friendliness, and compatibility with the majority of commercial off-the-shelf (COTS) devices. To overcome these limitations, we present EHTrack, an earphone-based system that achieves head tracking exclusively through acoustic signals. EHTrack employs acoustic sensing to measure the movement of a pair of earphones, subsequently enabling precise head tracking. In particular, a pair of speakers generates a periodically fluctuating sound field, which the user’s two earphones detect. By assessing the distance and angle alterations between the earphones and speakers, we propose a model to determine the user’s head movement and orientation. Our evaluation results indicate a high degree of accuracy in both head movement tracking, with an average tracking error of 2.98 cm,  and head orientation tracking, with an average error of 1.83◦. Furthermore, in a deployed exhibition scenario, we attained an accuracy of 89.2% in estimating the user’s focus direction.",https://ieeexplore.ieee.org/document/10192901
102,Hu et al.,2024,Head Gestures and Pointing,Head,"Pitch, Yaw","Accelerometer, Microphone",No,2,Fine,Yes,Yes,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=50),"Device, Distance, Noise, Position, Running, Sitting, Standing, Walking","Car, Lab, Living Room, Office, Outdoors","Earbud, Headphone",Research Prototype,Yes,No,"AR/VR, Driving, Motion Tracking","Acoustic Signal, Head Motion Tracking, Humanmachine Interface","Head motion tracking is a promising research field with vast applications in ubiquitous human-computer interaction (HCI) scenarios. Unfortunately, solutions based on vision and wireless sensing have shortcomings in user privacy and tracking range, respectively. To address these issues, we propose IA-Track, a novel head motion tracking system that combines inertial measurement units (IMU) and acoustic sensing. Our wireless earphone-based method balances flexibility, computational complexity, and tracking accuracy, requiring only an earphone with an IMU and a smartphone. However, we still face two challenges. First, wireless earphones have limited hardware resources, making acoustic Doppler effect-based method unsuitable for acoustic tracking. Second, traditional Kalman filter-based trajectory restoration methods may introduce significant cumulative errors. To tackle these challenges, we rely on IMU sensor data to recover the trajectory and use smartphones to emit ”inaudible” acoustic signals that the earphone receives to adjust the IMU drift track. We conducted extensive experiments involving 50 volunteers in various potential IA-Track usage scenarios, demonstrating that our well-designed system achieves satisfactory head motion tracking performance.",https://ieeexplore.ieee.org/document/10288089
103,Hu et al.,2024,Head Gestures and Pointing,Head,"Pitch, Yaw",Microphone,No,2,Fine,Yes,Yes,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=32),"Device, Distance, Noise, Position","Café, Lab, Library, Outdoors",Earbud,Commercial,Yes,No,"AR/VR, Device Control, Privacy","Acoustic Ranging, Acoustic Sensing, Head Motion Tracking, Human–Computer Interaction","Accurate head movement tracking is crucial for virtual reality and Metaverse in ubiquitous human-computer interaction (HCI) applications. Existing works for head tracking with wearable VR kits and wireless signals require expensive devices and heavy algorithmic processing. To resolve this problem, we propose HeadTrack, a low-cost, high-precision head motion tracking system that uses commercially available wireless earphones to capture the user’s head motion in real-time. HeadTrack uses smartphones as ‘sound anchors’ and emits inaudible chirps picked up by the user’s wireless earphones. By measuring the time-of-flight of these signals from the smartphone to each microphone on the earphone, we can deduce the user’s face orientation and distance relative to the smartphone, enabling us to accurately track the user’s head movement. To realize HeadTrack, we use the cross-correlation method to optimize the Frequency Modulated Continuous Wave (FMCW) based acoustic ranging method, which solves the problem of insufficient wireless earphone bandwidth. Moreover, we solve the problems of asynchronous startup time between devices and the existence of sampling frequency offset. We conduct excessive experiments in real scenarios, and the results prove that HeadTrack can continuously track the direction of the user’s head, with an average error under 6.3◦ in pitch and 4.9◦ in yaw.",https://ieeexplore.ieee.org/document/10373032
104,Lepold et al.,2024,Eye-Tracking,Eye,Vertical Gaze,EOG,Yes,1,Fine,Yes,No,No,No,Medium,Medium,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Earbud,Research Prototype,No,No,Health,"Bio-Potential, EEG, EMG, EOG, Earables, Electroencephalography, Electromyography, Electrooculography, Hearables, Open-Source","While traditional earphones primarily offer private audio spaces, so-called “earables” emerged to offer a variety of sensing capabilities. Pioneering platforms like OpenEarable have introduced novel sensing platforms targeted at the ears, incorporating various sensors. The proximity of the ears to the eyes, brain, and facial muscles has also sparked investigation into sensing biopotentials. However, currently there is no platform available that is targeted at the ears to sense biopotentials. To address this gap, we introduce OpenEarable ExG - an open-source hardware platform designed to measure biopotentials in and around the ears. OpenEarable ExG can be freely configured and has up to 7 sensing channels. We initially validate OpenEarable ExG in a study with a left-right in-ear dualelectrode montage setup with 3 participants. Our results demonstrate the successful detection of smooth pursuit eye movements via Electrooculography (EOG), alpha brain activity via Electroencephalography (EEG), and jaw clenching via Electromyography (EMG). OpenEarable ExG is part of the OpenEarable initiative and is fully open-source under MIT license.",https://doi.org/10.1145/3675094.3678480
105,Ronco et al.,2024,Hand Gestures and Location,Hand,"Circle (Mid-Air), Hold (Mid-Air), Pinch (Mid-Air), Pull (Mid-Air), Push (Mid-Air), Rub (Mid-Air), Slide (Mid-Air), Tilt (Mid-Air)",mmWaveRadar,Yes,11,Semantic,No,Yes,Yes,No,Low,Medium,High (N=20),N/A,No,No,No,No,No,Yes (N=20),No,Sitting,Lab,Earbud,Research Prototype,Yes,Yes,Device Control,"Embedded, Gesture Recognition, Low-Power, Mm-Wave, Radar, Sensor","Smart Internet of Things (IoT) devices are on the rise in popularity, with innovative use cases and applications emerging every year. Including intelligence in these novel systems presents the challenge of integrating interaction and communication in scenarios where traditional interfaces are not viable. Hand Gesture Recognition (HGR) has been proposed as an intuitive Human-Machine Interface, potentially suitable for controlling several classes of devices in the context of the Internet of Things. This paper proposes a low-power in-ear HGR system based on mm-wave radars, efficient spatial and temporal Convolutional Neural Networks and an energy-optimized hardware design. The design is suitable for battery-operated devices, with stringent size and energy constraints, enabling user interaction with wearable devices, but also suitable for home appliances and industrial applications. The proposed machine learning model is characterized thoroughly for robustness and generalization capabilities, achieving 94.9% (single subject) and 86.1% (LeaveOne-Out Cross-validation) accuracy on a set of 11+1 gestures with a model size of only 36 KiB and inference latency of 32.4 ms on a 64 MHz Cortex-M33 microcontroller, making it compatible with real-time applications. The system is demonstrated in a fully integrated, miniaturized in-ear device with a full-system average power consumption of 18.4 mW, a more than 6x improvement on the current state of the art.",https://ieeexplore.ieee.org/document/10562162
106,Sato et al.,2024,Ear and Earable,Hand,"Fold (Ear), Pinch (Ear), Pull (Ear), Swipe (Ear)","Accelerometer, Gyroscope, Magnetometer",Yes,15,Semantic,No,Yes,No,No,Medium,Medium,Low (N=10),Low (N=10),Yes (N=19),No,No,No,No,Yes (N=10),No,"Sitting, Walking",Lab,Earbud,Commercial,No,No,"Communication, Data Annotation, Device Control, Device Input, Health, Music Player, Phone Calls","Gesture Elicitation Study, Hands Gesture Recognition, Hearables, IMU, User-Defined Gesture","Hearables are highly functional earphone-type wearables; however, existing input methods using stand-alone hearables are limited in the number of commands, and there is a need to extend device operation through hand gestures. In previous research on hearables for hand input, user understanding and gesture recognition systems have been developed. However, in the realm of user understanding, investigation concerning hand input with hearables remains incomplete, and existing recognition systems have not demonstrated proficiency in discerning user-defined gestures. In this study, we conducted a gesture elicitation study (GES) assuming hand input using hearables under six conditions (three interaction areas × two device shapes). Then, we extracted ear-level gestures that the device’s built-in IMU sensor could recognize from the user-defined gestures and investigated the recognition performance. The results of sitting experiments showed that the gesture recognition rate for in-ear devices was 91.0% and that for ear-hook devices was 74.7%.",https://dl.acm.org/doi/10.1145/3676503
107,Shojaeifard et al.,2024,Head Gestures and Pointing,Head,Yaw,"Accelerometer, Gyroscope",Yes,1,Coarse,Yes,Yes,No,No,Medium,High,High (N=6),Medium (N=1),No,No,No,No,No,Yes (N=6),No,Sitting,"Car, Lab",Earbud,Commercial,No,No,"Driving, Safety","Earables, Head Position Tracking, Vehicular Sensing","The Internet of Things is enabling innovations in the automotive industry by expanding the capabilities of vehicles by connecting them with the cloud. One important application domain is traffic safety, which can benefit from monitoring the driver’s condition on how safely they are handling the vehicle. By detecting drowsiness, inattentiveness, and distraction of the driver, it is possible to react before accidents happen. This paper uses accelerometer and gyroscope data collected using an ear-worn sensor to classify the orientation of the driver’s head in a moving vehicle. We show that lightweight machine learning algorithms such as Random Forest and K-Nearest Neighbor can be used to reach accurate classifications even without applying any noise reduction to the signal data. Data cleaning and transformation approaches are studied to see how they give deeper insights into the classification problem. This study paves the way for the development of driver monitoring systems capable of reacting to anomalous driving behaviour before traffic accidents can happen.",https://doi.org/10.1145/3627050.3627067
108,Srivastava et al.,2024,Mouth,Speech Apparatus,"Silent Speech (Sentences), Silent Speech (Words)","Accelerometer, Gyroscope",No,65,Semantic,Yes,Yes,Yes,No,High,High,Medium (N=19),N/A,No,No,No,No,No,Yes (N=19),Yes (N=19),"Noise, Sitting, Walking",Lab,Custom Device,Research Prototype,No,No,"AR/VR, Accessibility, Authentification, Communication, Device Control, Device Input, Music Player, Privacy, Security, Silent Speech","Accessible Interfaces, Earables, GPT, IMU Sensing, Llm, Silent Speech, Transformers","We present Unvoiced, a novel unvoiced user interface that leverages jaw motion to enable users to silently interact with their devices using earables. The core idea is to translate low-frequency jaw motion signals into high-frequency information-rich mel spectrograms. Our proposed cross-modal translation incorporates phonetic, contextual, and syntactic information, while the specialized loss function optimizes for these linguistic features. This ensures that the generated spectrograms capture nuanced speech characteristics. Evaluated for 19 users across four tasks, Unvoiced demonstrates >94% task completion rate and <9% word error rate for over 90% of phrases. Further, Unvoiced maintains >90% task completion rate in noisy conditions.",https://doi.org/10.1145/3666025.3699374
109,Shimon et al.,2024,"Ear and Earable, Hand Gestures and Location",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes (N=18),No,No,No,No,No,No,Sitting,Lab,N/A,N/A,N/A,N/A,Device Control,"Earables, Earbased Interaction, Embodied Interaction, Input Techniques, Touch Surfaces, Uni-Manual Interaction","Small form factor limits physical input space in earable (i.e., ear-mounted wearable) devices. Off-device earable inputs in alternate mid-air and on-skin around-ear interaction spaces using uni-manual gestures can address this input space limitation. Segmenting these alternate interaction spaces to create multiple gesture regions for reusing off-device gestures can expand earable input vocabulary by a large margin. Although prior earable interaction research has explored off-device gesture preferences and recognition techniques in such interaction spaces, supporting gesture reuse over multiple gesture regions needs further exploration. We collected and analyzed 7560 uni-manual gesture motion data from 18 participants to explore earable gesture reuse by segmentation of on-skin and mid-air spaces around the ear. Our results show that gesture performance degrades significantly beyond 3 mid-air and 5 on-skin around-ear gesture regions for different uni-manual gesture classes (e.g., swipe, pinch, tap). We also present qualitative findings on most and least preferred regions (and associated boundaries) by end-users for different uni-manual gesture shapes across both interaction spaces for earable devices. Our results complement earlier elicitation studies and interaction technologies for earables to help expand the gestural input vocabulary and potentially drive future commercialization of such devices.",https://dl.acm.org/doi/10.1145/3643513
110,Srivastava et al.,2024,Mouth,Speech Apparatus,Silent Speech (Sentences),"Accelerometer, EMG, Gyroscope",No,12,Semantic,Yes,Yes,No,Yes,High,High,High (N=9),N/A,No,No,No,No,No,Yes (N=9),No,Sitting,Lab,"Earbud, Headphone",Research Prototype,Yes,No,"AR/VR, Accessibility, Communication, Device Control, Device Input, Music Player, Phone Calls, Privacy, Video Conference","Accessibility, Exg, IMU Sensing, Silent Speech Recognition","Silent speech recognition has emerged as a promising approach for enabling hands-free and discreet interaction with head-worn devices. In this paper, we present QuietSync, a multimodal system that combines inertial measurement unit (IMU) and contact electrode (ExG) signals to achieve accurate silent speech recognition using of-the-shelf devices. QuietSync utilizes an IMU attached to the lower part of the headphones near the ear and strategically places ExG electrodes on the headphones, glasses (nose and behind the ear), and face (for VR applications) to capture subtle movements and muscle activity associated with silent speech production. We conducted a user study with 9 participants and successfully recognized 12 commands with an accuracy of 94.2%. Our system leverages the complementary nature of IMU and ExG signals to enhance the robustness and reliability of silent speech recognition. The IMU captures subtle movements of the jaw and facial muscles, while the ExG electrodes detect low-amplitude surface muscle activity associated with speech production. We show that our system is not afected by the length and speech mannerisms of the commands, and can be fne-tuned for users of varied native languages with only 5 samples. Our fndings demonstrate the feasibility of using of-the-shelf head-worn devices to enable silent speech recognition, opening up new possibilities for seamless and discreet interaction with devices such as VR/AR headsets and earables. To the best of our knowledge, QuietSync is the frst system to enable silent speech interaction for multiple form factors.",https://doi.org/10.1145/3678957.3685720
111,Sun et al.,2024,Mouth,Speech Apparatus,"Silent Speech (Phonemes), Silent Speech (Words)","Microphone, Speaker",Yes,76,Semantic,Yes,Yes,No,No,High,High,High (N=50),Medium (N=50),No,Yes (N=50),No,No,No,Yes (N=50),No,"Hand Motion, Head Movement, Mask, Music, Noise, Sitting, Walking, Wearing Styles",Lab,Earbud,Research Prototype,No,No,Silent Speech,"Acoustic Sensing, Earphone, Silent Speech Recognition","As the most natural and convenient way to communicate with people, speech is always preferred in HumanComputer Interactions. However, voice-based interaction still has several limitations. It raises privacy concerns in some circumstances and the accuracy severely degrades in noisy environments. To address these limitations, silent speech recognition (SSR) has been proposed, which leverages the inaudible information (e.g., lip movements and throat vibration) to recognize the speech. In this paper, we present EarSSR, an earphone-based silent speech recognition system to enable interaction without a need of vocalization. The key insight is that when people are speaking, their ear canals exhibit unique deformation patterns and the corresponding deformation patterns are related to words/letters even without any vocalization. We utilize the built-in microphone and speaker of an earphone to capture the ear canal deformation. Ultrasound signals are emitted and the reflected signals are analyzed to extract the signal features corresponding to speech-induced ear canal deformation for silent speech recognition. We design a two-channel hierarchical convolutional neural network to achieve fine-grained letter/word recognition. Our extensive experiments show that EarSSR can achieve an accuracy of 82% for single alphabetic letter recognition and an accuracy of 93% for word recognition.",https://ieeexplore.ieee.org/document/10411110
112,Suzuki et al.,2024,Hand Gestures and Location,Hand,"Calling Gesture, Grip (Mid-Air), Squeeze (Mid-Air), Swipe (Mid-Air), Twist (Mid-Air)","Microphone, Speaker",Yes,7,Semantic,No,Yes,Yes,No,Low,Medium,Low (N=20),Low (N=20),Yes (N=11),No,Yes (N=11),No,Yes (N=11),Yes (N=20),No,"Gloves, Music, Sitting, Surplus Person, Walking",Lab,Earbud,Research Prototype,No,No,Device Input,"Acoustic Sensing, Deep Learning, Doppler Efect, Hearables, Mid-Air Gesture Recognition, Sound Leakage","We introduce EarHover, an innovative system that enables mid-air gesture input for hearables. Mid-air gesture input, which eliminates the need to touch the device and thus helps to keep hands and the device clean. However, existing mid-air gesture input methods for hearables have been limited to adding cameras or infrared sensors. By focusing on the sound leakage phenomenon unique to hearables, we have realized mid-air gesture recognition using a speaker and an external microphone that are highly compatible with hearables. The signal leaked to the outside of the device due to sound leakage can be measured by an external microphone, which detects the diferences in refection characteristics caused by the hand’s speed and shape during mid-air gestures. Among 27 types of gestures, we determined the seven suitable gestures for EarHover in terms of signal discrimination and user acceptability. We then evaluated the gesture detection and classifcation performance of two prototype devices (in-ear type/open-ear type) for real-world application scenarios.",https://dl.acm.org/doi/10.1145/3654777.3676367
113,Wang et al.,2024,Hand Gestures and Location,Hand,Slide (Face),Microphone,Yes,5,Semantic,No,Yes,Yes,Yes,Medium,High,N/A,N/A,No,Yes (N=20),No,No,Yes (N=20),No,Yes (N=26),"Make-Up, Music, Noise, Sitting, Sports, Standing, Walking","Car, Living Room, Office, Outdoors",Earbud,Research Prototype,No,No,Authentification,"Biometrics, Earable, Fingerprint, Friction, User Authentication","Ear wearables (earables) are emerging platforms that are broadly adopted in various applications. There is an increasing demand for robust earables authentication because of the growing amount of sensitive information and the IoT devices that the earable could access. Traditional authentication methods become less feasible due to the limited input interface of earables. Nevertheless, the rich head-related sensing capabilities of earables can be exploited to capture human biometrics. In this paper, we propose EarSlide, an earable biometric authentication system utilizing the advanced sensing capacities of earables and the distinctive features of acoustic fingerprints when users slide their fingers on the face. It utilizes the inward-facing microphone of the earables and the face-ear channel of the ear canal to reliably capture the acoustic fingerprint. In particular, we study the theory of friction sound and categorize the characteristics of the acoustic fingerprints into three representative classes, pattern-class, ridge-groove-class, and coupling-class. Different from traditional fingerprint authentication only utilizes 2D patterns, we incorporate the 3D information in acoustic fingerprint and indirectly sense the fingerprint for authentication. We then design representative sliding gestures that carry rich information about the acoustic fingerprint while being easy to perform. It then extracts multi-class acoustic fingerprint features to reflect the inherent acoustic fingerprint characteristic for authentication. We also adopt an adaptable authentication model and a user behavior mitigation strategy to effectively authenticate legit users from adversaries. The key advantages of EarSlide are that it is resistant to spoofing attacks and its wide acceptability. Our evaluation of EarSlide in diverse real-world environments with intervals over one year shows that EarSlide achieves an average balanced accuracy rate of 98.37% with only one sliding gesture.",https://dl.acm.org/doi/10.1145/3643515
