,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Citation,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[376],Li et al.,2023,"Ear and Earable, Hand Gestures and Location",In,Hand,"Pinch (Ear), Thinking Gesture, Hold (Face), Cover (Face), Calling Gesture, Cover (Ear), Support (Face)",Microphone,No,8,Semantic,No,Yes,Yes (Performance Loss),No,Low,Medium,High (N=10),N/A,Yes (N=10),No,Yes (N=25),No,Yes (N=25),Yes (N=10),No,Sitting,Lab,Earbud,Commercial,No,No,"We targeted on hand-to-face gestures because such gestures relate closely to speech and yield signifcant acoustic features (e.g., impeding voice propagation).; Thus, researchers have been seeking supplementary input methods as parallel input channels to assist voice interaction; In this paper, we investigated the feasibility of using voiceaccompanying hand-to-face (VAHF) gestures as parallel channels to improve the traditional voice interaction fow.; Specifcally, we aim at designing VAHF gestures and recognizing them with an acoustic-based cross-device sensing method. We targeted hand-toface gestures as the instantiation of voice-accompanying gestures because they have been proven to be natural, expressive (e.g., various landmarks on the face to yield a large gesture space), and more related to the speech by existing researches; Moreover, hand-to-face gestures yielded signifcant features in voice propagation, which is benefcial for acoustic sensing; outline new opportunities for VAHF gestures to beneft voice interaction.; Our quantitative analysis sheds light on the recognition capability of the diferent sensor combinations over VAHF gestures with diferent characteristics. We conducted a comprehensive study to elicit the gesture space of VAHF gestures and proposed a gesture set with better usability, better social acceptance, less fatigue, and less ambiguity.",,"Device Control, Device Input","hand gestures, acoustic sensing, sensor fusion","Gestures performed accompanying the voice are essential for voice interaction to convey complementary semantics for interaction purposes such as wake-up state and input modality. In this paper, we investigated voice-accompanying hand-to-face (VAHF) gestures for voice interaction. We targeted on hand-to-face gestures because such gestures relate closely to speech and yield signifcant acoustic features (e.g., impeding voice propagation). We conducted a user study to explore the design space of VAHF gestures, where we frst gathered candidate gestures and then applied a structural analysis to them in diferent dimensions (e.g., contact position and type), outputting a total of 8 VAHF gestures with good usability and least confusion. To facilitate VAHF gesture recognition, we proposed a novel cross-device sensing method that leverages heterogeneous channels (vocal, ultrasound, and IMU) of data from commodity devices (earbuds, watches, and rings). Our recognition model achieved an accuracy of 97.3% for recognizing 3 gestures and 91.5% for recognizing 8 gestures (excluding the ""empty"" gesture), proving the high applicability. Quantitative analysis also shed light on the recognition capability of each sensor channel and their different combinations. In the end, we illustrated the feasible use cases and their design principles to demonstrate the applicability of our system in various scenarios.",94,,https://dl.acm.org/doi/10.1145/3544548.3581008,DONE,,,"Selection, Position",X,X,X,15,Yes,No,X,Present (N=10),High (N=25),Low (Derived),Not Indicated,Present,44%
[308],Panda et al.,2023,"Ear and Earable, Head Gestures and Pointing, Hand Gestures and Location",In,"Hand, Head","Lift (Earable), Cup (Mid-Air), Cover (Face), Pitch, Roll, Press (Earable), Yaw","Accelerometer, Gyroscope, Magnetometer, LiDAR Sensor, Button",Yes,11,"Semantic, Fine, Coarse",Partly,Visual Attention,No,No,Medium,High,N/A,N/A,Yes,No,No,No,No,No,No,Sitting,Lab,Headphone,Research Prototype,Yes,Yes,"the presence of microphones and even inertial motion sensors on some units (typically for spatial audio support [5, 10]) hints at richer possibilities for headphone-situated input, interaction, and wearable sensing. In this way sensor-enhanced headphones ofer designers an opportunity to (re-)consider notions of the user’s context, activity, and proximal hand gestures–enabling rich interactions beyond the status-quo, button-pushing type of interactions with headphones.; Further, by augmenting existing user actions, such an approach reduces the number of explicit gestures that the user has to learn, control, enact, and remember.",,Video Conference,"headphones, wearables, sensing, research through design, design space","Via Research through Design (RtD), we explore the potential of headphones as a general-purpose input device for both foreground motion-gestures as well as background sensing of user activity. As a familiar wearable device, headphones ofer a compelling site for head-situated interaction and sensing. Using emerging sensing modalities such as inertial motion, capacitive touch sensing, and depth cameras, our implemented prototypes explore sensing and interaction techniques that ofer a range of compelling capabilities. User scenarios include context-aware privacy, gestural audiovisual control, and co-opting natural body language as context to drive animated avatars for ""camera-of"" scenarios in remote workor to co-opt (oft-subconscious) head movements such as dodging attacks in video games to enhance the gameplay experience. Drawing from literature and other frameworks, we situate our prototypes and related techniques in a design space across the dual dimensions of (1) type of input (touch, mid-air, or head orientation); and (2) the context of user action (application, body, or environment). In particular, interactions that combine multiple inputs and contexts at the same time ofer a rich design space of headphonesituated wearable interactions and sensing techniques.",95,,https://dl.acm.org/doi/10.1145/3563657.3596022,DONE,,,"Selection, Position, Orientation",4,fine,"absolute, relative",11,Yes,Yes,Coupled,Present,Not Indicated,Low (Derived),Not Indicated,Not Indicated,35%
[443],Paul et al.,2023,"Brain, Eye-Tracking",Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,
[277],Stanke et al.,2023,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,
[461],Yi et al.,2023,Mouth,In,Speech Apparatus,Silent Speech (Phonemes),EMG,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Silent Speech, Phone Calls",,,98,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[619],Zhang et al.,2023,Ear and Earable,In,Hand,Touch (Ear),"Speaker, Microphone",Yes,1,Coarse,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Custom Device,Research Prototype,N/A,No,This paper presents an approach using a speaker/microphone pair to perform active acoustic sensing in the inaudible frequency range to achieve continuous finger positioning on the ear.,,"Music Player, Phone Calls","acoustic sensing, bone conduction, positioning, human interface","The advancement of semiconductor and battery technologies popularized tiny acoustic wearable devices such as bone conduction wireless headsets. However, this small form factor poses inconvenience when controlling these devices, as they cannot equip large footprint intuitive interfaces such as volume sliders and touch screens. This paper presents a technique using acoustic responses measured by a bone conduction speaker and a microphone to utilize the ear as a touch input interface. We discovered that a finger placed on different parts of the ear affects the acoustic radiation characteristic of the ear, modulating the leaked sound, and by leveraging this effect, the touch position can be estimated. Experimental results show that five distinct frequency responses with five different finger positions can be obtained, which indicates that our method could allow bone conduction headsets to capture continuous finger positions without additional hardware.",99,,https://dl.acm.org/doi/10.1145/3560905.3568075,DONE,,,"Selection, Position",X,coarse (5),X,1,No,Yes,X,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Not Indicated,20%
[292],Zhang et al.,2023,Face,In,Facial Expression,Ekman 7,Microphone,,,,Yes,Visual Attention,,,,,,,,,,,,,,,,,,,,,,"AR/VR, Accessibility, Emotion Recognition",,,100,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[713],Zhang et al.,2023,Mouth,In,Speech Apparatus,Silent Speech (Words),"Speaker, Microphone",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Silent Speech, Music Player",,,101,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[516],Zhu et al.,2023,Head Gestures and Pointing,In,Head,"Roll, Pitch, Yaw","Accelerometer, Gyroscope",Yes,12,Semantic,Yes,Yes,Yes,Yes,Medium,High,High (N=15),N/A,No,No,No,No,No,Yes (N=15),No,"Walking Stairs, Standing, Walking, Sports",Lab,Earbud,Research Prototype,Yes,No,"The increasing popularity of earable devices stimulates great academic interest to design novel head gesture-based interaction technologies. But existing works simply consider it as a singular activity recognition problem. This is not in line with practice since users may have different body movements such as walking and jogging along with head gestures. It is also beneficial to recognize body movements during human-device interaction since it provides useful context information. As a result, it is significant to recognize such composite activities in which actions of different body parts happen simultaneously. In this paper, we propose a system called CHAR to recognize composite head-body activities with a single IMU sensor. The key idea of our solution is to make use of the inter-correlation of different activities and design a multi-task learning network to extract shared and specific representations.; In spite of good recognition performance, these works share a common shortcoming, that is, only considering singular activities and outputting a single activity type.",,"Device Control, Music Player, Phone Calls, Activity Recognition","Composite activity recognition, Earable device, Multi-task learning","The increasing popularity of earable devices stimulates great academic interest to design novel head gesture-based interaction technologies. But existing works simply consider it as a singular activity recognition problem. This is not in line with practice since users may have different body movements such as walking and jogging along with head gestures. It is also beneficial to recognize body movements during human-device interaction since it provides useful context information. As a result, it is significant to recognize such composite activities in which actions of different body parts happen simultaneously. In this paper, we propose a system called CHAR to recognize composite head-body activities with a single IMU sensor. The key idea of our solution is to make use of the inter-correlation of different activities and design a multi-task learning network to extract shared and specific representations. We implement a real-time prototype and conduct extensive experiments to evaluate it. The results show that CHAR can recognize 60 kinds of composite activities (12 head gestures and 5 body movements) with high accuracies of 97.0% and 89.7% in user- dependent and independent cases, respectively.",102,,https://ieeexplore.ieee.org/abstract/document/10916516,DONE,,,"Selection, Path, Orientation",3,X,relative,12,Yes,No,X,Present,Not Indicated,Medium (Derived),Not Indicated,Present,52%
[346],Dong et al.,2024,Mouth,In,Speech Apparatus,Silent Speech (Words),Microphone,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Silent Speech, Device Control, Accessibility",,,103,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[498],Ge at al.,2024,Head Gestures and Pointing,In,Head,Yaw,Microphone,No,1,Fine,Yes,Visual Attention,No,No,Medium,High,High (N=6),High (N=6),No,No,No,No,No,Yes (N=6),Yes,"Standing, Distance, Noise","University Building, Outdoors",Earbud,Research Prototype,No,No,"Nevertheless, current solutions relying on vision and motion sensors exhibit limitations in accuracy, user-friendliness, and compatibility with the majority of commercial off-the-shelf (COTS) devices. To overcome these limitations, we present EHTrack, an earphone-based system that achieves head tracking exclusively through acoustic signals. EHTrack employs acoustic sensing to measure the movement of a pair of earphones, subsequently enabling precise head tracking. In particular, a pair of speakers generates a periodically fluctuating sound field, which the user’s two earphones detect.; Consequently, head tracking plays a crucial role in human–computer interaction (HCI) applications, such as tracking users’ attention during webpage browsing for content customization or tracking user attention for exhibit introduction in museums. An accurate, user-friendly, and widely applicable head tracking solution compatible with commercial off-the-shelf (COTS) devices is desired for daily use.",,"Customer Analytics, Activity Recognition","Acoustic signal processing, human computer interaction, signal processing, systems, user interfaces","Head tracking is a technique that allows for the measurement and analysis of human focus and attention, thus enhancing the experience of human–computer interaction (HCI). Nevertheless, current solutions relying on vision and motion sensors exhibit limitations in accuracy, user-friendliness, and compatibility with the majority of commercial off-the-shelf (COTS) devices. To overcome these limitations, we present EHTrack, an earphone-based system that achieves head tracking exclusively through acoustic signals. EHTrack employs acoustic sensing to measure the movement of a pair of earphones, subsequently enabling precise head tracking. In particular, a pair of speakers generates a periodically fluctuating sound field, which the user’s two earphones detect. By assessing the distance and angle alterations between the earphones and speakers, we propose a model to determine the user’s head movement and orientation. Our evaluation results indicate a high degree of accuracy in both head movement tracking, with an average tracking error of 2.98 cm,  and head orientation tracking, with an average error of 1.83◦. Furthermore, in a deployed exhibition scenario, we attained an accuracy of 89.2% in estimating the user’s focus direction.",104,,https://ieeexplore.ieee.org/document/10192901,DONE,,,"Selection, Orientation",1,fine,absolute,1,No,Yes,X,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Not Indicated,30%
[482],Hu et al.,2024,Head Gestures and Pointing,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,
[509],Hu et al.,2024,Head Gestures and Pointing,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,
[625],Lepold et al.,2024,"Brain, Eye-Tracking",Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,
[449],Ronco et al.,2024,Hand Gestures and Location,In,Hand,"Pinch (Mid-Air), Tilt (Mid-Air), Slide (Mid-Air), Push (Mid-Air), Pull (Mid-Air), Rub (Mid-Air), Circle (Mid-Air), Hold (Mid-Air)",mmWaveRadar,Yes,11,Semantic,No,Yes,Yes,No,Low,Medium,High (N=20),N/A,No,No,No,No,No,Yes (N=20),No,Sitting,Lab,Earbud,Research Prototype,Yes,Yes,"Hand Gesture Recognition (HGR) has been proposed as an intuitive Human-Machine Interface, potentially suitable for controlling several classes of devices in the context of the Internet of Things. This paper proposes a low-power in-ear HGR system based on mm-wave radars, efficient spatial and temporal Convolutional Neural Networks and an energy-optimized hardware design.; However, their limitations are becoming more evident when it comes to adapting to the evolving landscape of ubiquitous, and perhaps simple devices such as wearable systems, where the integration of traditional interfaces is not a viable option for physical constraints, strict energy requirements, or purely aesthetic reasons. The need for more intuitive and adaptive solutions has become increasingly evident, prompting extensive research into alternative technologies.",,Device Control,"mm-wave, radar, gesture recognition, low-power, embedded, sensor","Smart Internet of Things (IoT) devices are on the rise in popularity, with innovative use cases and applications emerging every year. Including intelligence in these novel systems presents the challenge of integrating interaction and communication in scenarios where traditional interfaces are not viable. Hand Gesture Recognition (HGR) has been proposed as an intuitive Human-Machine Interface, potentially suitable for controlling several classes of devices in the context of the Internet of Things. This paper proposes a low-power in-ear HGR system based on mm-wave radars, efficient spatial and temporal Convolutional Neural Networks and an energy-optimized hardware design. The design is suitable for battery-operated devices, with stringent size and energy constraints, enabling user interaction with wearable devices, but also suitable for home appliances and industrial applications. The proposed machine learning model is characterized thoroughly for robustness and generalization capabilities, achieving 94.9% (single subject) and 86.1% (LeaveOne-Out Cross-validation) accuracy on a set of 11+1 gestures with a model size of only 36 KiB and inference latency of 32.4 ms on a 64 MHz Cortex-M33 microcontroller, making it compatible with real-time applications. The system is demonstrated in a fully integrated, miniaturized in-ear device with a full-system average power consumption of 18.4 mW, a more than 6x improvement on the current state of the art.",108,,https://ieeexplore.ieee.org/document/10562162,DONE,,,"Selection, Path, Orientation",3,X,relative,11,Yes,No,X,Present,Not Indicated,High (Derived),Not Indicated,Present,54%
[635],Sato et al.,2024,Ear and Earable,In,Hand,"Pull (Ear), Swipe (Ear), Pinch (Ear), Fold (Ear)","Accelerometer, Gyroscope, Magnetometer",Yes,15,Semantic,No,Yes,No,No,Medium,Medium,Low(N=10),Low (N=10),Yes (N=19),No,No,No,No,Yes (N=10),No,"Sitting, Walking",Lab,Earbud,Commercial,No,No,"however, existing input methods using stand-alone hearables are limited in the number of commands, and there is a need to extend device operation through hand gestures.; Consequently, a compelling demand exists for a device operation method that uses only hearables.; Consequently, there is a need to systematically identify and classify gesture sets that align with various input technologies, particularly by exploring user-defined gestures under defined interaction area constraints.; Consequently, it becomes important to investigate user-defined gestures that are suitable for scenarios where the user is only wearing the hearables.",,"Device Control, Music Player, Phone Calls, Communication, Health, Data Annotation, Device Input","Hearables, Hands Gesture Recognition, User-Defined Gesture, Gesture Elicitation Study, IMU","Hearables are highly functional earphone-type wearables; however, existing input methods using stand-alone hearables are limited in the number of commands, and there is a need to extend device operation through hand gestures. In previous research on hearables for hand input, user understanding and gesture recognition systems have been developed. However, in the realm of user understanding, investigation concerning hand input with hearables remains incomplete, and existing recognition systems have not demonstrated proficiency in discerning user-defined gestures. In this study, we conducted a gesture elicitation study (GES) assuming hand input using hearables under six conditions (three interaction areas × two device shapes). Then, we extracted ear-level gestures that the device’s built-in IMU sensor could recognize from the user-defined gestures and investigated the recognition performance. The results of sitting experiments showed that the gesture recognition rate for in-ear devices was 91.0% and that for ear-hook devices was 74.7%.",109,,https://dl.acm.org/doi/10.1145/3676503,DONE,,,"Selection, Position, Path",3,X,relative,47,Yes,No,X,Present (N=19),Not Indicated,High (Derived),Not Indicated,Partly Present,23%
[291],Shojaeifard et al.,2024,Head Gestures and Pointing,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,
[640],Srivastava et al.,2024,Mouth,In,Speech Apparatus,"Silent Speech (Words), Silent Speech (Sentences)","Accelerometer, Gyroscope",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Silent Speech, Device Input, Privacy, Security, Authentification, Communication, AR/VR, Accessibility",,,111,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[654],Srivastava et al.,2024,Mouth,In,Speech Apparatus,Silent Speech (Sentences),"Accelerometer, EMG, Gyroscope",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"AR/VR, Privacy, Accessibility, Communication, Device Control, Phone Calls, Device Input, Video Conference, Music Player",,,112,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[506],Sun et al.,2024,Mouth,In,Speech Apparatus,"Silent Speech (Phonemes), Silent Speech (Words)","Microphone, Speaker",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Silent Speech,,,113,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[639],Suzuki et al.,2024,Hand Gestures and Location,In,Hand,"Swipe (Mid-Air), Twist (Mid-Air), Grip (Mid-Air), Squeeze (Mid-Air), Calling Gesture","Speaker, Microphone",Yes,7,Semantic,No,Yes,Yes,No,Low,Medium,Low (N=20),Low (N=20),Yes (N=11),No,Yes (N=11),No,Yes (N=11),Yes (N=20),No,"Sitting, Gloves, Walking, Surplus Person, Music",Lab,Earbud,Research Prototype,No,No,"We introduce EarHover, an innovative system that enables mid-air gesture input for hearables. Mid-air gesture input, which eliminates the need to touch the device and thus helps to keep hands and the device clean.; We propose EarHover (Figure 1), a system that minimizes the cost of additional sensors and enables mid-air gesture recognition.",,Device Input,"Hearables, mid-air gesture recognition, Doppler efect, sound leakage, deep learning, acoustic sensing","We introduce EarHover, an innovative system that enables mid-air gesture input for hearables. Mid-air gesture input, which eliminates the need to touch the device and thus helps to keep hands and the device clean. However, existing mid-air gesture input methods for hearables have been limited to adding cameras or infrared sensors. By focusing on the sound leakage phenomenon unique to hearables, we have realized mid-air gesture recognition using a speaker and an external microphone that are highly compatible with hearables. The signal leaked to the outside of the device due to sound leakage can be measured by an external microphone, which detects the diferences in refection characteristics caused by the hand’s speed and shape during mid-air gestures. Among 27 types of gestures, we determined the seven suitable gestures for EarHover in terms of signal discrimination and user acceptability. We then evaluated the gesture detection and classifcation performance of two prototype devices (in-ear type/open-ear type) for real-world application scenarios.",114,,https://dl.acm.org/doi/10.1145/3654777.3676367,DONE,,,"Selection, Path, Orientation",4,X,relative,27,Yes,No,X,Present (N=11),Not Indicated,Low (Derived),High (N=11),Present,37%
[286],Wang et al.,2024,Hand Gestures and Location,In,Hand,Slide (Face),Microphone,Yes,5,Semantic,No,Yes,Yes,Yes,Medium,High,N/A,N/A,No,Yes (N=20),No,No,Yes (N=20),No,Yes (N=26),"Noise, Music, Sitting, Standing, Sports, Walking, Make-Up","Living Room, Office, Outdoors, Car",Earbud,Research Prototype,No,No,"There is an increasing demand for robust earables authentication because of the growing amount of sensitive information and the IoT devices that the earable could access.; In particular, we repurpose the face and earables as a natural scanner to indirectly sense the fingerprint biometrics.",,Authentification,"Biometrics, Fingerprint, Friction, User Authentication, Earable","Ear wearables (earables) are emerging platforms that are broadly adopted in various applications. There is an increasing demand for robust earables authentication because of the growing amount of sensitive information and the IoT devices that the earable could access. Traditional authentication methods become less feasible due to the limited input interface of earables. Nevertheless, the rich head-related sensing capabilities of earables can be exploited to capture human biometrics. In this paper, we propose EarSlide, an earable biometric authentication system utilizing the advanced sensing capacities of earables and the distinctive features of acoustic fingerprints when users slide their fingers on the face. It utilizes the inward-facing microphone of the earables and the face-ear channel of the ear canal to reliably capture the acoustic fingerprint. In particular, we study the theory of friction sound and categorize the characteristics of the acoustic fingerprints into three representative classes, pattern-class, ridge-groove-class, and coupling-class. Different from traditional fingerprint authentication only utilizes 2D patterns, we incorporate the 3D information in acoustic fingerprint and indirectly sense the fingerprint for authentication. We then design representative sliding gestures that carry rich information about the acoustic fingerprint while being easy to perform. It then extracts multi-class acoustic fingerprint features to reflect the inherent acoustic fingerprint characteristic for authentication. We also adopt an adaptable authentication model and a user behavior mitigation strategy to effectively authenticate legit users from adversaries. The key advantages of EarSlide are that it is resistant to spoofing attacks and its wide acceptability. Our evaluation of EarSlide in diverse real-world environments with intervals over one year shows that EarSlide achieves an average balanced accuracy rate of 98.37% with only one sliding gesture.",115,,https://dl.acm.org/doi/10.1145/3643515,DONE,,,"Position, Path",2,X,relative,5,Yes,No,X,Partly Present,High (N=20),Medium (Derived),Not Indicated,Not Indicated,38%
[532],Wang et al.,2024,Hand Gestures and Location,In,Hand,"Slide (Face), Tap (Face)","Accelerometer, Gyroscope",Yes,7,Semantic,No,Yes,Yes,Yes,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=20),Sitting,Lab,Earbud,Commercial,No,No,"However, the widespread adoption of wireless earbuds has spurred concerns regarding security and privacy, necessitating robust bespoke security measures. Despite the miniaturization of mobile chips enabling the integration of sophisticated algorithms into smart wearables, the research and industrial communities have yet to accord adequate attention to earbud security.; This article focuses on empowering wireless earbuds to authenticate their legitimate users, tackling the challenges associated with conventional authentication methods. Instead of relying on input interface authentication methods like PIN or lock patterns, this research delves into leveraging inertial measurement unit (IMU) data collected during interactions with devices to extract novel biometric features, presenting an alternative approach that nonetheless confronts challenges related to signal capture and interference.; Especially as the demand for interactive functions on smart earbuds grows, necessitating increased user permissions and information access, highlighting the importance of privacy and security measures.",,Authentification,"Adversarial learning, implicit authentication, wearable computing","The surge in popularity of wireless headphones, particularly wireless earbuds, as smart wearables, has been notable in recent years. These devices, empowered by artificial intelligence (AI), are broadening their utility in areas such as speech recognition, augmented reality, pose recognition, and health care monitoring, thereby enriching user experiences through novel interactive interfaces driven by embedded sensors. However, the widespread adoption of wireless earbuds has spurred concerns regarding security and privacy, necessitating robust bespoke security measures. Despite the miniaturization of mobile chips enabling the integration of sophisticated algorithms into smart wearables, the research and industrial communities have yet to accord adequate attention to earbud security. This article focuses on empowering wireless earbuds to authenticate their legitimate users, tackling the challenges associated with conventional authentication methods. Instead of relying on input interface authentication methods like PIN or lock patterns, this research delves into leveraging inertial measurement unit (IMU) data collected during interactions with devices to extract novel biometric features, presenting an alternative approach that nonetheless confronts challenges related to signal capture and interference. Consequently, we propose and design BudsAuth, an implicit user authentication framework that harnesses built-in IMU sensors in smart earbuds to capture vibration signals induced by onface touching interactions with the earbuds. These vibrations are utilized to deliver continuous and implicit user authentication with high precision and compatibility across various earbud models. Extensive evaluation demonstrates BudsAuth’s capability to achieve an equal error rate (EER) of 0.0003, representing an approximate 99.97% accuracy with seven consecutive samples of interactive gestures for implicit authentication.",116,,https://ieeexplore.ieee.org/abstract/document/10478100,DONE,,,"Selection, Position, Path",2,X,relative,7,Yes,No,X,Not Present,Not Indicated,Not Indicated,Not Indicated,Present,25%
[676],Wang et al.,2024,Hand Gestures and Location,In,Hand,Write (Face),Microphone,Yes,36,Semantic,No,Yes,Yes,Yes,Low,Medium,High (N=10),High,No,Yes (N=20),No,No,No,Yes (N=10),No,"Sitting, Standing, Head Movement, Walking","Office, Living Room, Car, Outdoors",Earbud,Research Prototype,No,No,"As earables gain popularity, there emerges a need for intuitive user interfaces that adapt to diverse daily scenarios. Traditional methods like touchscreens and voice control often fall short in environments like movie theatres, where silence and darkness are required, or on busy streets where visual distraction introduces extra risk. We propose an innovative earable-based system utilizing unique acoustic friction generated by fingers for alphanumeric input.; This paper introduces FaceTyping, an interaction system that enables alphanumeric handwriting on the face using passive acoustic sensing in earables.",,"Device Input, Privacy","Earable, Face and Ear Interaction, Gestures Recognition, Acoustic Sensing","As earables gain popularity, there emerges a need for intuitive user interfaces that adapt to diverse daily scenarios. Traditional methods like touchscreens and voice control often fall short in environments like movie theatres, where silence and darkness are required, or on busy streets where visual distraction introduces extra risk. We propose an innovative earable-based system utilizing unique acoustic friction generated by fingers for alphanumeric input. Our approach digs into the acoustic friction theory, applying this knowledge to better understand the transformation from 2D handwriting into a 1D acoustic time series. This theoretical foundation guides our system design and feature extraction. Specifically, we have redesigned certain characters to enhance their acoustic distinctiveness without compromising the natural handwriting style of users, ensuring the system userfriendly. Our system combines DenseNet and GRU architectures in a multimodal model, refined through transfer learning to adapt to diverse user behaviors. Tested in real-world scenarios with 10 participants, our system achieves a 95% accuracy in recognizing both letters and numbers.",117,,https://ieeexplore.ieee.org/document/10637602,DONE,,,"Selection, Path, Quantification, Text",2,X,relative,36,Yes,No,X,Present,High (N=20),High (Derived),Not Indicated,Present,62%
[675],Xie et al.,2024,Head Gestures and Pointing,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,
[354],Yang et al.,2024,"Ear and Earable, Hand Gestures and Location",In,Hand,"Press (Face), Pinch (Face), Pinch (Ear), Cover (Face), Scratch (Face), Close (Mid-Air), Open (Mid-Air), Slide (Mid-Air), Click (Mid-Air), Approach (Mid-Air)","Speaker, Microphone",Yes,10,Semantic,No,Yes,No,No,Low,Medium,High (N=22),Medium (N=1),No,Yes (N=22),Yes (N=22),No,Yes (N=22),Yes (N=22),No,"Sitting, Noise, Distance, Hydration, Standing, Walking, Sports, Eating, Speaking, Music",Lab,Earbud,Research Prototype,No,No,"However, these systems face limitations in capturing contactless gestures (i.e., those gestures performed over the face) because such gestures do not generate signals that are detectable by the aforementioned sensors.; can we design a system that is able to detect hand-to-face gestures, whether in contact with the face or above it, using widely accessible mobile devices?; Firstly, its wearable nature guarantees that users can move freely without any inconvenience or hindrance, always interacting with the device seamlessly.; Secondly, MAF does not depend on specialized sensors or require any modifications to standard bone conduction earphones.; We then craft a plethora of user studies to i) examine the impact of various human factors on the mobile acoustic field; and ii) assess the social acceptance of this mobile acoustic field-based gesture interaction by interviewing 22 participants.",,"Music Player, AR/VR, Health, Device Control","Wearable Computing, Gesture Detection, Acoustic Sensing","We present MAF, a novel acoustic sensing approach that leverages the commodity hardware in bone conduction earphones for handto-face gesture interactions. Briefly, by shining audio signals with bone conduction earphones, we observe that these signals not only propagate along the surface of the human face but also dissipate into the air, creating an acoustic field that envelops the individual’s head. We conduct benchmark studies to understand how various handto-face gestures and human factors influence this acoustic field. Building on the insights gained from these initial studies, we then propose a deep neural network combined with signal preprocessing techniques. This combination empowers MAF to effectively detect, segment, and subsequently recognize a variety of hand-to-face gestures, whether in close contact with the face or above it. Our comprehensive evaluation based on 22 participants demonstrates that MAF achieves an average gesture recognition accuracy of 92% across ten different gestures tailored to users’ preferences.",119,,https://dl.acm.org/doi/10.1145/3613904.3642437,DONE,,,Selection,"1, X",X,"absolute, relative",12,Yes,No,X,Partly Present,Medium (N=22),Low (Derived),Medium (N=22),Present,43%
[86],Bedri et al.,2015,Mouth,Out,Jaw,General Jaw Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,
[527],Yi et al.,2024,Mouth,In,Speech Apparatus,Silent Speech (Phonemes),EMG,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Silent Speech,,,120,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
