,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[713],Zhang et al.,2023,Mouth,In,Speech Apparatus,Silent Speech (Words),"Speaker, Microphone",Yes,8,Semantic,Yes,Yes,Yes (Performance Loss),Yes,High,High,Medium (N=18),Medium (N=18),No,Yes (N=18),No,No,No,Yes (N=18),No,"Device, Music",Lab,Headphone,Research Prototype,No,No,"In this paper, we present the design and implementation of HPSpeech, a silent speech interface for commodity headphones that can recognize 8 silent speech phrases to control music player. HPSpeech utilizes the existing speakers of the headphones to emit inaudible acoustic signals. The movements of the temporomandibular joint (TMJ) during speech alter the reflections of the signal before it is captured by a microphone positioned inside the headphone.",,"Silent Speech, Music Player","Silent Speech, Acoustic Sensing, Headphones, Commodity-off-theshelf","We present HPSpeech, a silent speech interface for commodity headphones. HPSpeech utilizes the existing speakers of the headphones to emit inaudible acoustic signals. The movements of the temporomandibular joint (TMJ) during speech modify the reflection pattern of these signals, which are captured by a microphone positioned inside the headphones. To evaluate the performance of HPSpeech, we tested it on two headphones with a total of 18 participants. The results demonstrated that HPSpeech successfully recognized 8 popular silent speech commands for controlling the music player with an accuracy over 90%. While our tests use modified commodity hardware (both with and without active noise cancellation), our results show that sensing the movement of the TMJ could be as simple as a firmware update for ANC headsets which already include a microphone inside the hear cup. This leaves us to believe that this technique has great potential for rapid deployment in the near future. We further discuss the challenges that need to be addressed before deploying HPSpeech at scale.",98,https://doi.org/10.1145/3594738.3611365,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[516],Zhu et al.,2023,Head Gestures and Pointing,In,Head,"Roll, Pitch, Yaw","Accelerometer, Gyroscope",Yes,12,Semantic,Yes,Yes,Yes,Yes,Medium,High,High (N=15),N/A,No,No,No,No,No,Yes (N=15),No,"Walking Stairs, Standing, Walking, Sports",Lab,Earbud,Research Prototype,Yes,No,"The increasing popularity of earable devices stimulates great academic interest to design novel head gesture-based interaction technologies. But existing works simply consider it as a singular activity recognition problem. This is not in line with practice since users may have different body movements such as walking and jogging along with head gestures. It is also beneficial to recognize body movements during human-device interaction since it provides useful context information. As a result, it is significant to recognize such composite activities in which actions of different body parts happen simultaneously. In this paper, we propose a system called CHAR to recognize composite head-body activities with a single IMU sensor. The key idea of our solution is to make use of the inter-correlation of different activities and design a multi-task learning network to extract shared and specific representations.; In spite of good recognition performance, these works share a common shortcoming, that is, only considering singular activities and outputting a single activity type.",,"Device Control, Music Player, Phone Calls, Activity Recognition","Composite activity recognition, Earable device, Multi-task learning","The increasing popularity of earable devices stimulates great academic interest to design novel head gesture-based interaction technologies. But existing works simply consider it as a singular activity recognition problem. This is not in line with practice since users may have different body movements such as walking and jogging along with head gestures. It is also beneficial to recognize body movements during human-device interaction since it provides useful context information. As a result, it is significant to recognize such composite activities in which actions of different body parts happen simultaneously. In this paper, we propose a system called CHAR to recognize composite head-body activities with a single IMU sensor. The key idea of our solution is to make use of the inter-correlation of different activities and design a multi-task learning network to extract shared and specific representations. We implement a real-time prototype and conduct extensive experiments to evaluate it. The results show that CHAR can recognize 60 kinds of composite activities (12 head gestures and 5 body movements) with high accuracies of 97.0% and 89.7% in user- dependent and independent cases, respectively.",99,https://ieeexplore.ieee.org/abstract/document/10916516,DONE,,,"Selection, Path, Orientation",3,X,relative,12,Yes,No,X,Present,Not Indicated,Medium (Derived),Not Indicated,Present,52%
[346],Dong et al.,2024,Mouth,In,Speech Apparatus,Silent Speech (Words),Microphone,Yes,100,Semantic,Yes,Yes,No,Yes,High,High,Medium (N=4),Medium (N=9),No,No,No,No,No,Yes (N=4),No,"Noise, Head Movement, Walking, Wearing Styles, Sitting, Standing",Lab,Earbud,Research Prototype,No,No,"Although speech-based interactions can serve as a strong alternative to other interaction modalities, it is not always appropriate or possible to use speech in public settings.; In this work, we explore the feasibility of using ultrasonic refections recorded by commercially available, active noise-canceling (ANC) earbuds to enable SSI.; We propose a system called ReHEarSSE that can recognize words that are within a known lexicon but do not have a recorded example in the training dataset (i.e., unseen words).",,"Silent Speech, Device Control, Accessibility","silent speech interface, text entry, autoregressive model, earable computing, acoustic sensing","Silent speech interaction (SSI) allows users to discreetly input text without using their hands. Existing wearable SSI systems typically require custom devices and are limited to a small lexicon, limiting their utility to a small set of command words. This work proposes ReHEarSSE, an earbud-based ultrasonic SSI system capable of generalizing to words that do not appear in its training dataset, providing support for nearly an entire dictionary’s worth of words. As a user silently spells words, ReHEarSSE uses autoregressive features to identify subtle changes in ear canal shape. ReHEarSSE infers words using a deep learning model trained to optimize connectionist temporal classifcation (CTC) loss with an intermediate embedding that accounts for diferent letters and transitions between them. We fnd that ReHEarSSE recognizes 100 unseen words with an accuracy of 89.3%.",100,https://doi.org/10.1145/3613904.3642095,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[21],Choi & Kim,2020,Actuation,Out,N/A,Colored Light (Actuation),N/A,N/A,1,Fine,Yes,Yes,Yes,N/A,Medium,Medium,N/A,N/A,,,,,,,,,,,,N/A,N/A,"In this paper, we present an interactive music sharing service called Toning, that makes users express their musical taste and share music with people in the same space through the most common wearable device, bluetooth earbuds.; Thus, to satisfy the desire of young users, this study suggests an interaction service called Toning, that makes users express their musical taste and share music with people in the same space through the most common wearable device, bluetooth earbuds.",,"Music Player, Social Interaction","Interactive Earphone, Tangible Music Profile, Sharing Music Experience, User Preference, Public Space","The users in their 20s are curious about the feedback after sharing the music that they like, as much as the act of sharing itself. Moreover, they wish to share their musical taste with various people not only with their acquaintance, in everyday spaces and when on the move. In this paper, we present an interactive music sharing service called Toning, that makes users express their musical taste and share music with people in the same space through the most common wearable device, bluetooth earbuds. Our design process started with user survey and interview, aiming to understand their opinion about proper way of expressing music preference, and define design guidelines. Based on this, early concept design was conducted.",57,https://doi.org/10.1145/3374920.3374983,,,,,,,,,,,,,,,,,
[498],Ge et al.,2024,Head Gestures and Pointing,In,Head,Yaw,Microphone,No,1,Fine,Yes,Visual Attention,No,No,Medium,High,High (N=6),High (N=6),No,No,No,No,No,Yes (N=6),Yes,"Standing, Distance, Noise","University Building, Outdoors",Earbud,Research Prototype,No,No,"Nevertheless, current solutions relying on vision and motion sensors exhibit limitations in accuracy, user-friendliness, and compatibility with the majority of commercial off-the-shelf (COTS) devices. To overcome these limitations, we present EHTrack, an earphone-based system that achieves head tracking exclusively through acoustic signals. EHTrack employs acoustic sensing to measure the movement of a pair of earphones, subsequently enabling precise head tracking. In particular, a pair of speakers generates a periodically fluctuating sound field, which the user’s two earphones detect.; Consequently, head tracking plays a crucial role in human–computer interaction (HCI) applications, such as tracking users’ attention during webpage browsing for content customization or tracking user attention for exhibit introduction in museums. An accurate, user-friendly, and widely applicable head tracking solution compatible with commercial off-the-shelf (COTS) devices is desired for daily use.",,"Customer Analytics, Activity Recognition","Acoustic signal processing, human computer interaction, signal processing, systems, user interfaces","Head tracking is a technique that allows for the measurement and analysis of human focus and attention, thus enhancing the experience of human–computer interaction (HCI). Nevertheless, current solutions relying on vision and motion sensors exhibit limitations in accuracy, user-friendliness, and compatibility with the majority of commercial off-the-shelf (COTS) devices. To overcome these limitations, we present EHTrack, an earphone-based system that achieves head tracking exclusively through acoustic signals. EHTrack employs acoustic sensing to measure the movement of a pair of earphones, subsequently enabling precise head tracking. In particular, a pair of speakers generates a periodically fluctuating sound field, which the user’s two earphones detect. By assessing the distance and angle alterations between the earphones and speakers, we propose a model to determine the user’s head movement and orientation. Our evaluation results indicate a high degree of accuracy in both head movement tracking, with an average tracking error of 2.98 cm,  and head orientation tracking, with an average error of 1.83◦. Furthermore, in a deployed exhibition scenario, we attained an accuracy of 89.2% in estimating the user’s focus direction.",101,https://ieeexplore.ieee.org/document/10192901,DONE,,,"Selection, Orientation",1,fine,absolute,1,No,Yes,X,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Not Indicated,30%
[482],Hu et al.,2024,Head Gestures and Pointing,Enabling,Head,"Yaw, Pitch","Accelerometer, Microphone",No,2,Fine,Yes,Yes,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=50),"Distance, Sitting, Noise, Position, Standing, Running, Walking, Device","Lab, Living Room, Office, Car, Outdoors","Earbud, Headphone",Research Prototype,Yes,No,"Head motion tracking is a promising research field with vast applications in ubiquitous human-computer interaction (HCI) scenarios. Unfortunately, solutions based on vision and wireless sensing have shortcomings in user privacy and tracking range, respectively. To address these issues, we propose IA-Track, a novel head motion tracking system that combines inertial measurement units (IMU) and acoustic sensing.",,"AR/VR, Driving, Motion Tracking","Acoustic signal, head motion tracking, humanmachine interface","Head motion tracking is a promising research field with vast applications in ubiquitous human-computer interaction (HCI) scenarios. Unfortunately, solutions based on vision and wireless sensing have shortcomings in user privacy and tracking range, respectively. To address these issues, we propose IA-Track, a novel head motion tracking system that combines inertial measurement units (IMU) and acoustic sensing. Our wireless earphone-based method balances flexibility, computational complexity, and tracking accuracy, requiring only an earphone with an IMU and a smartphone. However, we still face two challenges. First, wireless earphones have limited hardware resources, making acoustic Doppler effect-based method unsuitable for acoustic tracking. Second, traditional Kalman filter-based trajectory restoration methods may introduce significant cumulative errors. To tackle these challenges, we rely on IMU sensor data to recover the trajectory and use smartphones to emit ”inaudible” acoustic signals that the earphone receives to adjust the IMU drift track. We conducted extensive experiments involving 50 volunteers in various potential IA-Track usage scenarios, demonstrating that our well-designed system achieves satisfactory head motion tracking performance.",102,https://ieeexplore.ieee.org/document/10288089,DONE,,,,,,,,,,,,,,,,
[509],Hu et al.,2024,Head Gestures and Pointing,Enabling,Head,"Yaw, Pitch",Microphone,No,2,Fine,Yes,Yes,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=32),"Device, Distance, Noise, Position","Lab, Café, Outdoors, Library",Earbud,Commercial,Yes,No,"In this paper, to overcome the abovementioned issues, we strive to develop a low-cost head tracking system, namely HeadTrack, to achieve high-precision and real-time head motion tracking via wireless earphones.",,"AR/VR, Device Control, Privacy","Human–computer interaction, acoustic sensing, acoustic ranging, head motion tracking","Accurate head movement tracking is crucial for virtual reality and Metaverse in ubiquitous human-computer interaction (HCI) applications. Existing works for head tracking with wearable VR kits and wireless signals require expensive devices and heavy algorithmic processing. To resolve this problem, we propose HeadTrack, a low-cost, high-precision head motion tracking system that uses commercially available wireless earphones to capture the user’s head motion in real-time. HeadTrack uses smartphones as ‘sound anchors’ and emits inaudible chirps picked up by the user’s wireless earphones. By measuring the time-of-flight of these signals from the smartphone to each microphone on the earphone, we can deduce the user’s face orientation and distance relative to the smartphone, enabling us to accurately track the user’s head movement. To realize HeadTrack, we use the cross-correlation method to optimize the Frequency Modulated Continuous Wave (FMCW) based acoustic ranging method, which solves the problem of insufficient wireless earphone bandwidth. Moreover, we solve the problems of asynchronous startup time between devices and the existence of sampling frequency offset. We conduct excessive experiments in real scenarios, and the results prove that HeadTrack can continuously track the direction of the user’s head, with an average error under 6.3◦ in pitch and 4.9◦ in yaw.",103,https://ieeexplore.ieee.org/document/10373032,DONE,,,,,,,,,,,,,,,,
[625],Lepold et al.,2024,Eye-Tracking,Enabling,Eye,Vertical Gaze,EOG,Yes,1,Fine,Yes,No,No,No,Medium,Medium,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Earbud,Research Prototype,No,No,"However, currently there is no platform available that is targeted at the ears to sense biopotentials. To address this gap, we introduce OpenEarable ExG - an open-source hardware platform designed to measure biopotentials in and around the ears.; The key contributions of this work include: Our results show that OpenEarable ExG is capable of detecting standard EEG phenomena like alpha brain activity, jaw clenching via EMG, and smooth pursuit eye movements via EOG, all using a simple in-ear electrode configuration.",,Health,"open-source, earables, hearables, bio-potential, Electrooculography, Electroencephalography, Electromyography, EOG, EEG, EMG","While traditional earphones primarily offer private audio spaces, so-called “earables” emerged to offer a variety of sensing capabilities. Pioneering platforms like OpenEarable have introduced novel sensing platforms targeted at the ears, incorporating various sensors. The proximity of the ears to the eyes, brain, and facial muscles has also sparked investigation into sensing biopotentials. However, currently there is no platform available that is targeted at the ears to sense biopotentials. To address this gap, we introduce OpenEarable ExG - an open-source hardware platform designed to measure biopotentials in and around the ears. OpenEarable ExG can be freely configured and has up to 7 sensing channels. We initially validate OpenEarable ExG in a study with a left-right in-ear dualelectrode montage setup with 3 participants. Our results demonstrate the successful detection of smooth pursuit eye movements via Electrooculography (EOG), alpha brain activity via Electroencephalography (EEG), and jaw clenching via Electromyography (EMG). OpenEarable ExG is part of the OpenEarable initiative and is fully open-source under MIT license.",104,https://doi.org/10.1145/3675094.3678480,DONE,,,,,,,,,,,,,,,,
[90],Looney et al.,2014,"Brain, Eye-Tracking",Out,Eye,Blink,EEG,Yes,1,Semantic,Yes,No,Yes,No,Medium,Medium,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Earbud,Research Prototype,No,No,"We present a radically new solution for EEG-based brain computer interface (BCI) where electrodes are embedded on a customized earpiece, as typically used in hearing aids (Ear-EEG). This provides a noninvasive, minimally intrusive and user-friendly EEG platform suitable for long-term use (days) in natural environments.",,BCI-Application,"Ear-EEG, brain computer interface (BCI), non-medical BCI, wearable EEG, steady state visual evoked potential (SSVEP)","We present a radically new solution for EEG-based brain computer interface (BCI) where electrodes are embedded on a customized earpiece, as typically used in hearing aids (Ear-EEG). This provides a noninvasive, minimally intrusive and user-friendly EEG platform suitable for long-term use (days) in natural environments. The operation of Ear-EEG is illustrated for alpha-attenuation and responses to auditory stimuli, and its potential in BCI is evaluated on an SSVEP study. We show that Ear-EEG bitrate performances are comparable with those of on-scalp electrodes, thus promising a quantum step forward for wearable BCI.",19,https://link.springer.com/chapter/10.1007/978-3-642-54707-2_5,DONE,,,,,,,,,,,,,,,,
[449],Ronco et al.,2024,Hand Gestures and Location,In,Hand,"Pinch (Mid-Air), Tilt (Mid-Air), Slide (Mid-Air), Push (Mid-Air), Pull (Mid-Air), Rub (Mid-Air), Circle (Mid-Air), Hold (Mid-Air)",mmWaveRadar,Yes,11,Semantic,No,Yes,Yes,No,Low,Medium,High (N=20),N/A,No,No,No,No,No,Yes (N=20),No,Sitting,Lab,Earbud,Research Prototype,Yes,Yes,"Hand Gesture Recognition (HGR) has been proposed as an intuitive Human-Machine Interface, potentially suitable for controlling several classes of devices in the context of the Internet of Things. This paper proposes a low-power in-ear HGR system based on mm-wave radars, efficient spatial and temporal Convolutional Neural Networks and an energy-optimized hardware design.; However, their limitations are becoming more evident when it comes to adapting to the evolving landscape of ubiquitous, and perhaps simple devices such as wearable systems, where the integration of traditional interfaces is not a viable option for physical constraints, strict energy requirements, or purely aesthetic reasons. The need for more intuitive and adaptive solutions has become increasingly evident, prompting extensive research into alternative technologies.",,Device Control,"mm-wave, radar, gesture recognition, low-power, embedded, sensor","Smart Internet of Things (IoT) devices are on the rise in popularity, with innovative use cases and applications emerging every year. Including intelligence in these novel systems presents the challenge of integrating interaction and communication in scenarios where traditional interfaces are not viable. Hand Gesture Recognition (HGR) has been proposed as an intuitive Human-Machine Interface, potentially suitable for controlling several classes of devices in the context of the Internet of Things. This paper proposes a low-power in-ear HGR system based on mm-wave radars, efficient spatial and temporal Convolutional Neural Networks and an energy-optimized hardware design. The design is suitable for battery-operated devices, with stringent size and energy constraints, enabling user interaction with wearable devices, but also suitable for home appliances and industrial applications. The proposed machine learning model is characterized thoroughly for robustness and generalization capabilities, achieving 94.9% (single subject) and 86.1% (LeaveOne-Out Cross-validation) accuracy on a set of 11+1 gestures with a model size of only 36 KiB and inference latency of 32.4 ms on a 64 MHz Cortex-M33 microcontroller, making it compatible with real-time applications. The system is demonstrated in a fully integrated, miniaturized in-ear device with a full-system average power consumption of 18.4 mW, a more than 6x improvement on the current state of the art.",105,https://ieeexplore.ieee.org/document/10562162,DONE,,,"Selection, Path, Orientation",3,X,relative,11,Yes,No,X,Present,Not Indicated,High (Derived),Not Indicated,Present,54%
[635],Sato et al.,2024,Ear and Earable,In,Hand,"Pull (Ear), Swipe (Ear), Pinch (Ear), Fold (Ear)","Accelerometer, Gyroscope, Magnetometer",Yes,15,Semantic,No,Yes,No,No,Medium,Medium,Low (N=10),Low (N=10),Yes (N=19),No,No,No,No,Yes (N=10),No,"Sitting, Walking",Lab,Earbud,Commercial,No,No,"however, existing input methods using stand-alone hearables are limited in the number of commands, and there is a need to extend device operation through hand gestures.; Consequently, a compelling demand exists for a device operation method that uses only hearables.; Consequently, there is a need to systematically identify and classify gesture sets that align with various input technologies, particularly by exploring user-defined gestures under defined interaction area constraints.; Consequently, it becomes important to investigate user-defined gestures that are suitable for scenarios where the user is only wearing the hearables.",,"Device Control, Music Player, Phone Calls, Communication, Health, Data Annotation, Device Input","Hearables, Hands Gesture Recognition, User-Defined Gesture, Gesture Elicitation Study, IMU","Hearables are highly functional earphone-type wearables; however, existing input methods using stand-alone hearables are limited in the number of commands, and there is a need to extend device operation through hand gestures. In previous research on hearables for hand input, user understanding and gesture recognition systems have been developed. However, in the realm of user understanding, investigation concerning hand input with hearables remains incomplete, and existing recognition systems have not demonstrated proficiency in discerning user-defined gestures. In this study, we conducted a gesture elicitation study (GES) assuming hand input using hearables under six conditions (three interaction areas × two device shapes). Then, we extracted ear-level gestures that the device’s built-in IMU sensor could recognize from the user-defined gestures and investigated the recognition performance. The results of sitting experiments showed that the gesture recognition rate for in-ear devices was 91.0% and that for ear-hook devices was 74.7%.",106,https://dl.acm.org/doi/10.1145/3676503,DONE,,,"Selection, Position, Path",3,X,relative,47,Yes,No,X,Present (N=19),Not Indicated,High (Derived),Not Indicated,Partly Present,23%
[291],Shojaeifard et al.,2024,Head Gestures and Pointing,Enabling,Head,Yaw,"Accelerometer, Gyroscope",Yes,1,Coarse,Yes,Yes,No,No,Medium,High,High (N=6),Medium (N=1),No,No,No,No,No,Yes (N=6),No,Sitting,"Lab, Car",Earbud,Commercial,No,No,"In-vehicular sensing, i.e. sensing the movements of a person driving a moving vehicle, sets its own challenges for the data quality. Different wearable sensors (wristbands, smart rings, glasses etc.) can detect the driver’s condition, such as sleepiness and attention level, and behavioural patterns, such as head movements and the extent of the field of vision [4]. Considering the potentiality and challenges of head movement detection technology, we aim to detect head movement by applying machine learning models for lightweight gyroscope data.; the earables for improving traffic safety. Possible use cases include reminding drivers to look at so-called dead angles and vehicle blind spots [3, 13] when passing lines and teaching such activity to new drivers.",,"Driving, Safety","earables, vehicular sensing, head position tracking","The Internet of Things is enabling innovations in the automotive industry by expanding the capabilities of vehicles by connecting them with the cloud. One important application domain is traffic safety, which can benefit from monitoring the driver’s condition on how safely they are handling the vehicle. By detecting drowsiness, inattentiveness, and distraction of the driver, it is possible to react before accidents happen. This paper uses accelerometer and gyroscope data collected using an ear-worn sensor to classify the orientation of the driver’s head in a moving vehicle. We show that lightweight machine learning algorithms such as Random Forest and K-Nearest Neighbor can be used to reach accurate classifications even without applying any noise reduction to the signal data. Data cleaning and transformation approaches are studied to see how they give deeper insights into the classification problem. This study paves the way for the development of driver monitoring systems capable of reacting to anomalous driving behaviour before traffic accidents can happen.",107,https://doi.org/10.1145/3627050.3627067,DONE,,,,,,,,,,,,,,,,
[640],Srivastava et al.,2024,Mouth,In,Speech Apparatus,"Silent Speech (Words), Silent Speech (Sentences)","Accelerometer, Gyroscope",No,65,Semantic,Yes,Yes,Yes,No,High,High,Medium (N=19),N/A,No,No,No,No,No,Yes (N=19),Yes (N=19),"Sitting, Walking, Noise",Lab,Custom Device,Research Prototype,No,No,"We present Unvoiced, a novel unvoiced user interface that leverages jaw motion to enable users to silently interact with their devices using earables.; It is evident that there is a need for an unvoiced interface that allows users to seamlessly communicate with their devices privately, without the impact of background noise, but also without using obtrusive sensing devices that are not socially acceptable.; Is it possible to harness the capabilities of LLMs to support unvoiced user interactions using jaw motion only? To design this LLM-assisted robust UUI, our key intuition is to translate IMU data to audio spectrograms which can then be converted to text using off-the-shelf LLMs.",,"Silent Speech, Device Input, Privacy, Security, Communication, Authentification, Accessibility, AR/VR, Music Player, Device Control","Accessible Interfaces, Silent Speech, Transformers, Earables, IMU Sensing, GPT, LLM","We present Unvoiced, a novel unvoiced user interface that leverages jaw motion to enable users to silently interact with their devices using earables. The core idea is to translate low-frequency jaw motion signals into high-frequency information-rich mel spectrograms. Our proposed cross-modal translation incorporates phonetic, contextual, and syntactic information, while the specialized loss function optimizes for these linguistic features. This ensures that the generated spectrograms capture nuanced speech characteristics. Evaluated for 19 users across four tasks, Unvoiced demonstrates >94% task completion rate and <9% word error rate for over 90% of phrases. Further, Unvoiced maintains >90% task completion rate in noisy conditions.",108,https://doi.org/10.1145/3666025.3699374,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[275],Shimon et al.,2024,"Ear and Earable, Hand Gestures and Location",Elicitation,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes (N=18),No,No,No,No,No,No,Sitting,Lab,N/A,N/A,N/A,N/A,"Although prior earable interaction research has explored off-device gesture preferences and recognition techniques in such interaction spaces, supporting gesture reuse over multiple gesture regions needs further exploration.; However, the small form factor and input area constraint in wireless earbuds restrict physical touch interaction to simple on-device taps and swipes, thus limiting their input space.; Although prior literature explored off-device uni-manual gesture reuse across different segmented regions for outer-ear touches to support gesture reusability, similar exploration is lacking for around-ear on-skin space (i.e., face, head, and neck) and above-ear mid-air spaces for supporting similar gestures.; We address this research gap by studying the reuse of different gesture classes at different mid-air and onskin gesture regions and the effect of increasing the number of gesture regions on quantitative and qualitative gesture performance metrics for mid-air and on-skin interaction spaces.; Understanding of end-user preference shift from one interaction space to another for increasing gesture reuse; Analysis of the effects of different factors (i.e., the number of gesture regions and associated boundaries) on interaction space segmentation for uni-manual, off-device earable gestures.",,Device Control,"Embodied Interaction, Input Techniques, Uni-manual Interaction, Touch Surfaces, Earbased Interaction, Earables","Small form factor limits physical input space in earable (i.e., ear-mounted wearable) devices. Off-device earable inputs in alternate mid-air and on-skin around-ear interaction spaces using uni-manual gestures can address this input space limitation. Segmenting these alternate interaction spaces to create multiple gesture regions for reusing off-device gestures can expand earable input vocabulary by a large margin. Although prior earable interaction research has explored off-device gesture preferences and recognition techniques in such interaction spaces, supporting gesture reuse over multiple gesture regions needs further exploration. We collected and analyzed 7560 uni-manual gesture motion data from 18 participants to explore earable gesture reuse by segmentation of on-skin and mid-air spaces around the ear. Our results show that gesture performance degrades significantly beyond 3 mid-air and 5 on-skin around-ear gesture regions for different uni-manual gesture classes (e.g., swipe, pinch, tap). We also present qualitative findings on most and least preferred regions (and associated boundaries) by end-users for different uni-manual gesture shapes across both interaction spaces for earable devices. Our results complement earlier elicitation studies and interaction technologies for earables to help expand the gestural input vocabulary and potentially drive future commercialization of such devices.",109,https://dl.acm.org/doi/10.1145/3643513,DONE,,,,,,,,,,,,,,,,
[654],Srivastava et al.,2024,Mouth,In,Speech Apparatus,Silent Speech (Sentences),"Accelerometer, EMG, Gyroscope",No,12,Semantic,Yes,Yes,No,Yes,High,High,High (N=9),N/A,No,No,No,No,No,Yes (N=9),No,Sitting,Lab,"Headphone, Earbud",Research Prototype,Yes,No,"In this paper, we present QuietSync, a multimodal system that combines inertial measurement unit (IMU) and contact electrode (ExG) signals to achieve accurate silent speech recognition using of-the-shelf devices.; To the best of our knowledge, QuietSync is the frst system to enable silent speech interaction for multiple form factors.; This paper introduces QuietSync, a novel multi-modal system that addresses these challenges by combining IMUs and novel, foambased, dry electrodes (ExG). QuietSync aims to overcome the limitations of previous works by providing a versatile and user-friendly solution for silent speech interaction. The system’s key contributions lie in its ability to enable SSI across four diferent form factors—headphones, earphones, glasses, and VR/XR systems—making it the frst of its kind.",,"AR/VR, Privacy, Accessibility, Communication, Device Control, Phone Calls, Device Input, Video Conference, Music Player","Silent speech recognition, Accessibility, EXG, IMU sensing","Silent speech recognition has emerged as a promising approach for enabling hands-free and discreet interaction with head-worn devices. In this paper, we present QuietSync, a multimodal system that combines inertial measurement unit (IMU) and contact electrode (ExG) signals to achieve accurate silent speech recognition using of-the-shelf devices. QuietSync utilizes an IMU attached to the lower part of the headphones near the ear and strategically places ExG electrodes on the headphones, glasses (nose and behind the ear), and face (for VR applications) to capture subtle movements and muscle activity associated with silent speech production. We conducted a user study with 9 participants and successfully recognized 12 commands with an accuracy of 94.2%. Our system leverages the complementary nature of IMU and ExG signals to enhance the robustness and reliability of silent speech recognition. The IMU captures subtle movements of the jaw and facial muscles, while the ExG electrodes detect low-amplitude surface muscle activity associated with speech production. We show that our system is not afected by the length and speech mannerisms of the commands, and can be fne-tuned for users of varied native languages with only 5 samples. Our fndings demonstrate the feasibility of using of-the-shelf head-worn devices to enable silent speech recognition, opening up new possibilities for seamless and discreet interaction with devices such as VR/AR headsets and earables. To the best of our knowledge, QuietSync is the frst system to enable silent speech interaction for multiple form factors.",110,https://doi.org/10.1145/3678957.3685720,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
